Migrant remittance outflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Lao PDR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,1,9,10,7,7,0,0,0,0,1,1,1,5,6,9,22,19,76,70,69,..
Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,2,1,2,5,8,8,7,8,8,8,13,20,30,45,58,46,46,50,70,73,66
Lebanon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"2,521","4,077","4,230","4,012","3,445","2,962","4,366","5,749","4,390","4,227","4,208","4,659",..
Lesotho,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75,60,56,56,34,10,10,8,10,11,..,..,..,..,..,..,..,..,..,..
Liberia,..,..,..,..,..,..,..,..,..,35,32,33,75,126,121,102,136,126,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,1,1,1,471,435,..
Libya,..,..,..,..,..,..,..,840,932,832,"1,050","1,530","1,580","2,030","1,240",859,490,466,497,472,446,409,394,324,283,222,272,192,208,213,463,683,786,676,975,914,945,762,964,"1,361","1,609",650,"1,971","3,199",..
Liechtenstein,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,1,1,33,58,63,47,38,29,31,42,28,259,426,567,652,679,552,"1,026","1,135",852,905
Luxembourg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"2,220","2,300","2,220","2,460","2,700","2,720","3,140","3,953","5,011","6,002","6,699","7,561","9,370","11,030","10,680","10,603","11,692","11,265","12,267","12,548"
"Macao SAR, China",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,115,119,160,207,476,823,936,667,539,654,853,"1,060",..
"Macedonia, FYR",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,0,21,12,14,21,23,16,16,16,18,25,33,26,23,25,24,24,24
Madagascar,..,..,..,..,20,37,35,26,27,26,31,23,20,12,11,14,16,12,14,13,18,10,9,7,8,11,13,15,13,11,12,11,5,18,9,19,17,19,23,30,35,46,54,50,..
Malawi,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,7,7,7,7,10,10,13,15,17,18,..,..
Malaysia,..,..,..,..,5,5,6,11,19,12,19,17,15,15,15,13,21,131,183,184,230,205,227,299,188,"1,331","1,423","2,077","2,928",484,599,634,"3,825","3,461","5,060","5,679","5,597","6,388","6,786","6,529","6,729","6,946","7,280","7,596",..
Maldives,..,..,..,..,..,..,..,..,..,..,0,0,1,2,3,2,3,4,6,6,8,17,19,27,22,27,27,28,31,41,46,50,51,55,62,70,84,189,219,190,189,240,260,266,324
Mali,..,..,..,..,..,12,8,6,12,20,19,15,14,13,12,29,38,44,40,42,45,51,69,56,37,42,23,21,32,30,26,23,30,58,64,69,57,83,105,167,176,129,111,134,..
Malta,..,3,4,5,3,4,5,3,6,7,8,7,5,4,6,5,6,8,9,24,25,8,5,2,3,13,15,13,12,15,14,11,11,13,21,28,43,49,53,47,47,42,251,"1,206","1,474"
Marshall Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,4,4,4,4,6,7,7,8,..
Mauritania,..,..,..,..,..,22,25,22,21,32,33,22,32,27,24,24,29,32,34,32,31,29,30,23,25,14,12,12,10,..,..,..,..,..,..,..,..,..,..,..,..,..,240,255,..
Mauritius,..,..,..,..,..,..,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,0,1,8,10,10,11,9,10,10,13,10,8,9,8,8,9
Mexico,..,..,..,..,..,..,..,..,..,..,11,19,7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,867,"1,002"
"Micronesia, Fed. Sts.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,17,17,18,16,..
Moldova,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,1,6,20,24,25,46,59,57,67,67,46,57,72,92,74,79,51,79,87,147
Monaco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,3,3,..,14,54,49,40,77,90,172,83,169,336,523,424,..
Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27,27,26,28,35,42,65,74
Morocco,..,..,..,..,..,53,58,61,75,82,77,59,46,38,31,21,19,24,21,14,16,22,29,17,17,20,19,20,32,28,29,36,36,44,42,35,38,49,54,60,62,71,64,63,..
Mozambique,..,..,..,..,..,..,..,..,..,..,25,29,24,20,26,25,23,25,25,28,25,30,27,21,19,21,16,23,31,140,156,64,50,30,20,24,26,45,48,66,70,66,132,155,..
Myanmar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,..,..,..,0,..,..,..,..,..,..,..,14,14,23,23,24,19,31,..,..,..,..,..,..,..,..
Namibia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30,26,17,13,11,11,11,17,10,9,9,8,8,15,18,18,20,16,42,15,28,27,18,16,..
Nepal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,9,9,18,22,24,27,17,24,34,26,64,66,79,4,5,12,32,39,50,28,..
Netherlands,181,243,309,403,468,479,507,544,667,763,970,884,872,737,648,658,886,"1,246","1,164","1,194","1,393","1,416","2,109","2,280","2,513","2,803","4,264","3,181","2,813","3,276","3,128","2,853","2,893","4,236","5,034","4,547","6,076","10,086","12,696","11,662","9,398","10,246","9,648","9,685","9,670"
New Caledonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19,21,21,28,50,56,68,92,83,87,68,45,..
New Zealand,..,..,53,77,109,100,96,99,130,140,151,192,134,132,122,127,172,241,347,353,366,350,311,291,349,427,605,683,437,469,459,398,393,605,858,647,552,623,624,524,534,610,662,708,713
Nicaragua,..,..,..,..,..,..,..,5,5,4,2,4,2,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,1,1,2,1,1
Niger,..,..,..,..,18,20,20,22,34,45,53,48,48,43,41,49,73,66,69,56,66,65,65,61,47,29,33,20,21,19,12,10,6,9,25,29,29,18,22,25,72,112,91,..,..
Nigeria,..,..,..,..,..,..,..,199,253,356,524,485,428,409,333,298,150,22,37,29,9,54,35,2,4,5,2,4,5,9,1,1,1,12,21,68,102,54,58,47,48,76,39,..,..
Northern Mariana Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norway,..,..,..,..,..,13,14,66,73,92,110,133,140,127,109,144,181,238,227,251,295,411,446,532,475,603,647,703,746,958,"1,060","1,020",923,"1,430","1,750","2,174","2,597","3,577","4,750","4,174","4,118","4,427","5,100","5,779",..
Oman,..,..,..,..,111,208,220,222,241,281,397,501,599,738,863,950,885,741,801,830,856,910,"1,220","1,420","1,370","1,540","1,370","1,500","1,470","1,440","1,450","1,530","1,600","1,670","1,830","2,257","2,788","3,670","5,181","5,316","5,704","7,215","8,087","9,104",..
Pakistan,..,..,..,..,..,..,0,1,0,1,1,1,1,2,0,2,1,1,1,1,1,1,1,1,2,4,4,2,5,3,2,3,2,5,10,3,3,2,..,8,9,28,34,16,16
Palau,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,12,11,11,10,10,10,11,11,..
Panama,..,..,..,..,..,..,..,..,..,..,37,32,35,38,32,31,27,39,41,36,22,16,20,24,25,20,20,21,21,21,22,42,45,57,72,88,121,151,258,450,486,464,564,644,818
Papua New Guinea,..,..,..,..,..,..,24,24,32,37,28,41,46,42,37,34,39,43,50,50,43,21,21,20,20,16,18,26,16,16,18,17,57,91,117,128,159,284,321,315,394,552,512,..,..
Paraguay,..,..,..,..,..,..,1,1,1,2,2,2,2,0,5,1,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Peru,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24,33,21,46,59,75,87,73,92,89,34,29,74,78,79,275,175,118,116,113,..,..,..,..,..,..,..,..,..,..
Philippines,..,..,..,..,..,..,..,7,5,9,12,11,9,8,1,1,6,3,10,4,5,9,8,45,89,151,57,..,..,25,21,24,21,18,17,195,63,66,117,94,109,135,152,210,184
Poland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,155,262,243,181,176,191,311,345,353,325,658,738,820,"1,208","1,741","1,378","1,258","1,349","1,391","1,413",..
Portugal,..,..,..,..,..,23,22,27,18,16,33,15,13,13,8,15,38,19,29,28,77,94,109,459,387,527,359,292,300,430,454,706,792,936,"1,164","1,131","1,211","1,129","1,234","1,298","1,259","1,444","1,174","1,231",..
Puerto Rico,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,259","1,355","1,507","1,483","1,595","2,177","3,009","3,690","4,483","5,380","7,105","8,141","10,445","10,413","11,281","11,230"
Romania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,2,2,1,6,8,6,5,7,8,8,27,49,344,651,299,359,363,339,546,..
Russian Federation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"3,692","3,939","4,037","3,498","2,555","1,404","1,099","1,822","2,226","3,237","5,180","6,827","12,104","19,881","29,719","21,148","21,454","26,010","31,648","37,217","32,640"
Rwanda,..,..,..,..,..,..,10,13,14,16,22,21,19,18,17,16,24,25,28,23,21,18,2,13,..,1,6,28,3,4,28,33,32,30,31,35,55,77,70,71,76,103,107,114,..
Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,2,3,3,3,4,3,4,4,6,3,3,3,..,..,..,..,11,16,21,10,9,8,7,9,11,18,..
San Marino,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,..,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,1,0,0,0,0,..,..,..,..,..,..,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1
Saudi Arabia,..,207,268,391,518,554,989,"1,510","2,840","3,760","4,090","5,350","5,350","5,240","5,280","5,200","4,800","4,930","6,500","8,530","11,200","13,700","13,400","15,700","18,100","16,600","15,500","15,000","14,900","14,000","15,400","15,100","15,900","14,800","13,600","14,315","15,964","16,447","21,696","26,470","27,069","28,475","29,493","34,984","36,924"
Senegal,..,..,..,..,28,32,27,24,43,69,91,76,69,59,52,47,58,61,67,66,79,89,96,94,60,76,68,70,67,61,55,51,39,57,77,98,96,143,144,174,216,209,..,..,..
Serbia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,110,139,90,70,92,218,255,..
Seychelles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9,10,10,13,0,0,0,0,0,0,0,10,6,5,7,8,10,17,52,51,62,41,50,50,54,..
Sierra Leone,..,..,..,..,..,..,..,..,..,..,2,..,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,3,3,3,2,4,4,3,3,11,21,20,9,..
Singapore,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sint Maarten (Dutch part),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55,59,60,..
Slovak Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,6,3,13,14,9,8,8,..,12,16,22,39,48,73,144,138,70,70,154,175,225
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,17,20,31,30,30,31,28,29,28,46,66,80,91,140,248,339,159,117,131,126,130,162
Solomon Islands,..,..,..,..,..,..,..,..,..,..,..,..,7,3,3,3,4,4,6,5,6,7,6,2,6,9,11,4,3,6,6,2,2,2,2,2,11,12,14,39,62,67,47,45,..
Somalia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Africa,237,284,279,424,566,667,576,629,696,806,"1,017","1,050",952,"1,078",934,722,843,"1,070","1,070","1,091","1,204",864,808,707,659,630,593,670,696,723,685,568,541,706,937,"1,042","1,055","1,173","1,119","1,144","1,353","1,423","1,320","1,182","1,094"
South Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,..,..,..,..,..,2,3,3,1,7,11,12,17,16,23,131,129,130,163,247,254,386,562,669,716,869,"1,023","1,084","1,245","1,965","2,491","3,078","3,792","5,141","6,975","7,668","10,755","14,000","14,022","12,144","11,557","12,281","10,464","8,772","8,825"
Sri Lanka,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16,16,17,18,19,20,194,209,231,236,249,274,305,373,420,526,581,680,854,..
St. Kitts and Nevis,..,..,..,..,..,..,..,..,..,..,2,2,1,1,1,1,2,2,2,8,7,..,0,4,3,1,2,3,3,3,7,8,8,8,8,8,5,6,6,6,6,6,6,7,..
St. Lucia,..,..,..,..,..,..,..,..,..,..,..,..,1,..,2,2,4,3,4,3,4,2,0,3,2,2,7,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,..
St. Martin (French part),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,5,4,3,3,1,1,4,3,3,3,5,5,5,6,6,5,5,5,5,5,6,5,5,6,6,6,6,..
Sudan,..,..,..,..,..,..,..,3,3,12,53,61,26,29,8,12,24,4,1,4,2,0,..,..,0,1,..,0,5,3,4,2,4,1,2,2,2,2,2,0,1,2,8,64,36
Suriname,..,..,..,..,..,..,..,14,15,15,18,15,16,16,13,9,7,7,9,7,8,11,15,6,3,2,3,3,2,2,2,2,22,28,14,10,4,6,8,5,1,3,12,19,21
Swaziland,..,..,..,..,..,..,1,1,8,10,9,10,10,13,13,10,13,5,5,4,4,5,8,7,6,4,4,2,2,7,21,27,21,39,5,8,17,8,6,11,12,12,27,9,..
Sweden,25,27,31,46,38,53,76,102,69,75,83,81,137,238,235,290,338,368,485,554,654,461,350,260,231,336,429,411,503,484,539,578,508,496,545,537,585,885,915,822,820,"1,103",997,"1,190",..
Switzerland,..,..,..,..,..,..,..,"1,306","1,867","2,125","2,343","2,330","2,759","2,688","2,475","2,509","3,780","5,040","5,760","6,110","8,170","8,670","8,860","8,230","8,720","10,120","9,610","7,850","7,770","7,580","7,590","8,380","9,230","11,450","12,920","9,986","10,705","12,248","14,459","14,907","16,878","21,588","21,854","23,170","24,592"
Syrian Arab Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,11,15,20,25,29,28,29,30,35,40,42,40,235,250,210,211,530,..,..,..,..
Tajikistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,64,119,145,395,184,199,124,231,201,263,240,206
Tanzania,..,..,..,..,..,..,7,5,6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,1,4,15,20,30,27,27,34,33,30,39,48,47,62,73,128,111,..
Thailand,..,..,..,..,..,13,13,11,16,20,35,36,47,41,54,69,59,59,91,122,199,53,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"2,558","2,397","2,631","2,683","3,136","3,118"
Timor-Leste,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,3,16,86,103,105,107,8,..
Togo,..,..,..,..,5,6,6,8,11,10,9,8,8,8,8,7,11,12,14,13,13,13,16,6,4,5,7,10,6,6,7,5,17,28,34,35,39,47,58,72,63,92,153,..,..
Tonga,..,0,0,0,0,0,0,0,..,..,..,..,1,2,2,1,3,4,1,2,1,1,1,2,..,..,..,..,..,..,..,11,16,10,11,12,12,11,12,9,6,5,7,..,..
Trinidad and Tobago,..,..,..,..,..,12,8,11,15,17,31,52,60,74,80,54,29,21,25,19,22,19,21,14,9,14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tunisia,..,..,..,..,..,..,21,23,29,22,22,22,17,16,15,17,9,10,6,9,13,11,12,14,19,36,21,38,30,21,27,21,13,17,13,16,16,15,16,13,13,19,18,20,..
Turkey,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96,107,106,111,141,168,205,255,330,818
Turkmenistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Turks and Caicos Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,1,1,1,2,2,3,2,..
Uganda,..,..,..,..,..,..,..,..,..,..,4,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,229,353,355,357,182,194,197,206,236,381,483,332,402,315,350,..
Ukraine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,4,3,3,10,5,15,29,20,186,255,353,714,613,703,849,"1,003","1,716","1,702"
United Arab Emirates,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"3,186","3,431","3,635","3,676","3,910","4,139","4,389","4,648","5,372","6,072","8,683","9,995","9,532","10,566","11,220","14,398","17,933","17,933"
United Kingdom,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,581","1,624","1,735","2,033","2,007","1,981","1,579","2,076","2,585","2,007","2,480","2,289","2,038","2,048","3,340","2,438","2,626","3,552","2,880","3,505","3,444","3,258","2,248","2,303","2,075","2,013","2,225","2,495"
United States,650,700,670,710,680,590,650,"1,060","1,170","1,220","1,360","4,720","5,140","5,450","5,990","6,330","8,660","8,810","9,010","10,220","11,850","13,920","16,150","18,030","20,350","22,160","23,700","25,570","27,390","33,300","34,400","38,200","40,200","40,000","43,400","47,254","50,756","52,650","55,527","50,723","50,776","50,556","52,511","53,590","54,215"
Uruguay,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,2,2,3,4,5,6,7,7,10,11,10
Uzbekistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Vanuatu,..,..,..,..,..,..,..,..,..,..,..,..,17,12,15,15,14,18,16,16,12,13,22,15,15,18,72,60,60,88,73,78,2,3,3,3,3,3,3,3,3,4,2,2,..
"Venezuela, RB",87,80,90,106,136,144,170,232,372,389,418,383,615,187,208,217,185,215,211,368,701,677,858,729,609,203,290,211,261,195,331,406,383,209,214,211,257,662,842,581,805,782,899,"1,117",..
Vietnam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Virgin Islands (U.S.),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19,18,22,5,6,6,5,6,22,13,8,9,9,9,8,19,52,50,10,..
"Yemen, Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,106,125,94,94,68,61,60,41,43,27,61,64,64,60,108,109,120,319,337,337,338,333,338,333,..
Zambia,..,..,..,..,..,..,..,..,70,114,82,69,37,39,26,24,42,19,24,26,18,20,..,..,..,..,..,59,39,22,24,28,38,72,76,94,115,124,139,66,68,70,97,77,81
Zimbabwe,..,..,..,..,..,..,..,40,42,95,135,122,111,83,63,15,20,17,15,16,16,10,11,8,7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..