Bermuda,133.68
Switzerland,123.10
Bahamas,107.54
Norway,99.80
Iceland,96.45
Denmark,84.88
Singapore,83.67
Luxembourg,82.01
Kuwait,81.62
Hong Kong,81.48
Japan,81.25
United Kingdom,81.03
Australia,78.45
New Zealand,78.17
Ireland,78.03
Israel,75.75
Sweden,75.70
Belgium,75.44
France,75.30
Finland,75.25
United States,74.08
South Korea,73.18
Netherlands,72.12
Qatar,69.99
Italy,68.77
Puerto Rico,66.73
Austria,66.59
United Arab Emirates,66.09
Germany,65.54
Canada,64.82
Argentina,64.09
Macao,64.06
Ghana,63.44
Lebanon,63.08
Malta,61.36
Venezuela,60.02
Belize,59.42
Costa Rica,57.76
Cyprus,56.99
Spain,56.11
Taiwan,55.84
Jamaica,55.70
Trinidad And Tobago,55.67
Uruguay,55.63
Zimbabwe,54.51
Greece,54.40
Oman,53.12
Jordan,53.08
Palestinian Territory,52.88
Panama,52.57
Slovenia,52.19
Brunei,51.93
Myanmar,51.57
Dominican Republic,51.38
Iraq,50.56
Portugal,49.83
Tanzania,49.51
Estonia,48.94
Croatia,48.20
Bahrain,48.20
China,48.10
Mauritius,47.89
Honduras,47.85
Saudi Arabia,47.60
Cambodia,47.29
Nigeria,47.16
Latvia,47.14
Lithuania,45.56
Zambia,45.53
Turkey,45.07
Slovakia,45.00
Uzbekistan,44.67
Ecuador,44.32
Ethiopia,44.27
Guatemala,44.08
Chile,43.88
Fiji,43.82
El Salvador,42.56
Czech Republic,41.80
Hungary,41.29
Iran,41.12
Thailand,40.02
Kenya,39.84
Namibia,39.74
Libya,39.66
Vietnam,39.50
Montenegro,39.49
Belarus,39.45
Brazil,38.88
Poland,38.53
Russia,38.48
Peru,38.04
Botswana,37.65
Malaysia,37.47
Bolivia,37.44
Egypt,36.71
Bulgaria,36.36
Indonesia,36.33
Morocco,35.56
Bangladesh,35.50
Armenia,35.49
Mexico,35.01
Romania,34.80
South Africa,34.75
Philippines,34.73
Bosnia And Herzegovina,34.59
Sri Lanka,34.11
Albania,33.81
Serbia,33.56
Syria,31.75
Macedonia,31.05
Tunisia,30.67
Colombia,29.25
Azerbaijan,28.93
Algeria,28.89
Georgia,28.71
Ukraine,28.56
Nepal,27.34
Kazakhstan,26.82
Pakistan,26.69
Moldova,25.70
India,24.14
Afghanistan,65.2