1,Norway,2.40,,,,
2,Bermuda,2.33,,,,
3,Bahamas,2.29,,,,
4,Costa Rica,2.28,,,,
5,Australia,1.82,,,,
6,Iceland,1.80,,,,
7,United States,1.76,,,,
8,Finland,1.61,,,,
9,Sweden,1.61,,,,
10,Canada,1.60,,,,
11,Puerto Rico,1.55,,,,
12,Panama,1.54,,,,
13,Hong Kong,1.52,,,,
14,Zimbabwe,1.50,,,,
15,New Zealand,1.44,,,,
16,Ireland,1.40,,,,
17,Denmark,1.40,,,,
18,Argentina,1.35,,,,
19,United Kingdom,1.29,,,,
20,Venezuela,1.26,,,,
21,Japan,1.26,,,,
22,Honduras,1.20,,,,
23,Jamaica,1.19,,,,
24,Israel,1.19,,,,
25,Singapore,1.15,,,,
26,Switzerland,1.14,,,,
27,Chile,1.13,,,,
28,Ethiopia,1.11,,,,
29,Ghana,1.09,,,,
30,Uruguay,1.06,,,,
31,El Salvador,1.03,,,,
32,Ecuador,1.03,,,,
33,Netherlands,1.01,,,,
34,South Korea,0.98,,,,
35,Luxembourg,0.98,,,,
36,Bolivia,0.98,,,,
37,Guatemala,0.97,,,,
38,Namibia,0.94,,,,
39,Taiwan,0.94,,,,
40,Belgium,0.92,,,,
41,Croatia,0.91,,,,
42,Mozambique,0.88,,,,
43,Greece,0.86,,,,
44,Dominican Republic,0.84,,,,
45,Myanmar,0.83,,,,
46,Estonia,0.82,,,,
47,Colombia,0.82,,,,
48,South Africa,0.81,,,,
49,Cyprus,0.81,,,,
50,Tanzania,0.80,,,,
51,Austria,0.78,,,,
52,Lebanon,0.77,,,,
53,Malta,0.77,,,,
54,France,0.76,,,,
55,Zambia,0.73,,,,
56,Philippines,0.73,,,,
57,Iraq,0.72,,,,
58,Nigeria,0.72,,,,
59,Latvia,0.71,,,,
60,Kenya,0.71,,,,
61,Brunei,0.71,,,,
62,Mexico,0.71,,,,
63,Lithuania,0.70,,,,
64,Brazil,0.69,,,,
65,Peru,0.68,,,,
66,Slovakia,0.68,,,,
67,Bahrain,0.67,,,,
68,Cambodia,0.66,,,,
69,Slovenia,0.66,,,,
70,Palestinian Territory,0.64,,,,
71,Morocco,0.62,,,,
72,Montenegro,0.62,,,,
73,Belarus,0.61,,,,
74,Portugal,0.60,,,,
75,United Arab Emirates,0.60,,,,
76,Spain,0.60,,,,
77,Oman,0.57,,,,
78,Bosnia And Herzegovina,0.57,,,,
79,Russia,0.57,,,,
80,Romania,0.57,,,,
81,Malaysia,0.55,,,,
82,China,0.55,,,,
83,Jordan,0.54,,,,
84,Kuwait,0.54,,,,
85,Saudi Arabia,0.54,,,,
86,Maldives,0.53,,,,
87,Sri Lanka,0.53,,,,
88,Qatar,0.52,,,,
89,Uganda,0.52,,,,
90,Libya,0.51,,,,
91,Vietnam,0.51,,,,
92,Czech Republic,0.51,,,,
93,Bulgaria,0.49,,,,
94,Pakistan,0.47,,,,
95,Germany,0.46,,,,
96,Thailand,0.46,,,,
97,Poland,0.46,,,,
98,Italy,0.46,,,,
99,Armenia,0.45,,,,
100,Albania,0.44,,,,
101,Uzbekistan,0.44,,,,
102,Syria,0.42,,,,
103,Ukraine,0.42,,,,
104,Georgia,0.42,,,,
105,Serbia,0.42,,,,
106,Turkey,0.41,,,,
107,Egypt,0.41,,,,
108,Indonesia,0.40,,,,
109,Iran,0.39,,,,
110,India,0.39,,,,
111,Moldova,0.39,,,,
112,Macedonia,0.39,,,,
113,Kazakhstan,0.37,,,,
114,Bangladesh,0.37,,,,
115,Hungary,0.34,,,,
116,Azerbaijan,0.33,,,,
117,Tunisia,0.30,,,,
118,Nepal,0.28,,,,
119,Algeria,0.28,,,,
129,Afghanistan,0.26,,,,